,split,user_id,video_id,no_frames,file_path,duration
0,test,putin,wCvqqwwwx8Y_122,705,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/wCvqqwwwx8Y_122.csv,23.5
1,test,putin,9mhi_AyQAyw_145,376,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/9mhi_AyQAyw_145.csv,12.533333333333333
2,test,putin,UB45clPRNoc_51,665,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/UB45clPRNoc_51.csv,22.166666666666668
3,test,putin,rHY8yG4mVzs_40,899,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/rHY8yG4mVzs_40.csv,29.966666666666665
4,test,putin,wCvqqwwwx8Y_25,996,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/wCvqqwwwx8Y_25.csv,33.2
5,test,putin,UB45clPRNoc_64,383,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/UB45clPRNoc_64.csv,12.766666666666667
6,test,putin,UB45clPRNoc_15,661,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/UB45clPRNoc_15.csv,22.033333333333335
7,test,putin,QiKF8JN1qmk_40,856,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/putin/real/QiKF8JN1qmk_40.csv,28.533333333333335
8,test,biden,cn8mH94mxXw_10,355,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/cn8mH94mxXw_10.csv,11.833333333333334
9,test,biden,0O9Cd6vjdN0_16,312,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/0O9Cd6vjdN0_16.csv,10.4
10,test,biden,-O_GzylneSo_3,344,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/-O_GzylneSo_3.csv,11.466666666666667
11,test,biden,0O9Cd6vjdN0_13,428,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/0O9Cd6vjdN0_13.csv,14.266666666666667
12,test,biden,CWck2xoZkJM_3,717,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/CWck2xoZkJM_3.csv,23.9
13,test,biden,qD5M8WCkaKg_2,678,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/qD5M8WCkaKg_2.csv,22.6
14,test,biden,CWck2xoZkJM_1,312,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/CWck2xoZkJM_1.csv,10.4
15,test,biden,0O9Cd6vjdN0_0,392,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/0O9Cd6vjdN0_0.csv,13.066666666666666
16,test,biden,opVaEC_WxWs_1,304,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/opVaEC_WxWs_1.csv,10.133333333333333
17,test,biden,8GfZxqjkdrk_12,337,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/8GfZxqjkdrk_12.csv,11.233333333333333
18,test,biden,XwmMPytjrK4_1,324,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/XwmMPytjrK4_1.csv,10.8
19,test,biden,jOlH13HShls_10,542,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/jOlH13HShls_10.csv,18.066666666666666
20,test,biden,r8b1QPL8D1Q_4,327,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/biden/real/r8b1QPL8D1Q_4.csv,10.9
21,test,justin,lwFF9yLrE44_43,431,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/lwFF9yLrE44_43.csv,14.366666666666667
22,test,justin,BlYBVpa49gk_42,420,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/BlYBVpa49gk_42.csv,14.0
23,test,justin,wcRbLBa9B_8_22,526,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/wcRbLBa9B_8_22.csv,17.533333333333335
24,test,justin,MbyIoHhb4j4_33,469,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/MbyIoHhb4j4_33.csv,15.633333333333333
25,test,justin,9pBhi5BNN5w_21,1041,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/9pBhi5BNN5w_21.csv,34.7
26,test,justin,-7pzajNYUe0_65,980,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/-7pzajNYUe0_65.csv,32.666666666666664
27,test,justin,lwFF9yLrE44_66,818,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/lwFF9yLrE44_66.csv,27.266666666666666
28,test,justin,lwFF9yLrE44_73,685,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/lwFF9yLrE44_73.csv,22.833333333333332
29,test,justin,MbyIoHhb4j4_4,470,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/justin/real/MbyIoHhb4j4_4.csv,15.666666666666666
30,test,hillary,k1QC5uJe8tk_9,2044,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/hillary/real/k1QC5uJe8tk_9.csv,68.13333333333334
31,test,hillary,Y1g10iFEn5A_20,1620,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/hillary/real/Y1g10iFEn5A_20.csv,54.0
32,test,hillary,UT5-NPReDMY_19,350,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/hillary/real/UT5-NPReDMY_19.csv,11.666666666666666
33,test,hillary,UT5-NPReDMY_17,577,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/hillary/real/UT5-NPReDMY_17.csv,19.233333333333334
34,test,hillary,7jK2eIpj6-c_3,509,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/hillary/real/7jK2eIpj6-c_3.csv,16.966666666666665
35,test,may,Ixwq3KJwy54_34,838,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/Ixwq3KJwy54_34.csv,27.933333333333334
36,test,may,uNBKCAOC1qc_31,274,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/uNBKCAOC1qc_31.csv,9.133333333333333
37,test,may,U77ZdnYi6Kw_0,1799,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/U77ZdnYi6Kw_0.csv,59.96666666666667
38,test,may,Ixwq3KJwy54_49,505,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/Ixwq3KJwy54_49.csv,16.833333333333332
39,test,may,hzT6EHjLMLo_9,493,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/hzT6EHjLMLo_9.csv,16.433333333333334
40,test,may,We4qXkwjm2A_27,815,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/We4qXkwjm2A_27.csv,27.166666666666668
41,test,may,uNBKCAOC1qc_16,420,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/uNBKCAOC1qc_16.csv,14.0
42,test,may,FDyZ8trge2E_4,1016,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/may/real/FDyZ8trge2E_4.csv,33.86666666666667
43,test,modi,I7c-A1fGOuc_copy,76529,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/modi/real/I7c-A1fGOuc_copy.csv,2550.9666666666667
44,test,modi,I7c-A1fGOuc,76529,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/modi/real/I7c-A1fGOuc.csv,2550.9666666666667
45,test,obama,cHyB8fLiEMs_1,1622,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/obama/real/cHyB8fLiEMs_1.csv,54.06666666666667
46,test,obama,u2ZydUXdLUo_3,1226,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/obama/real/u2ZydUXdLUo_3.csv,40.86666666666667
47,test,obama,_TcVs9wnZlo_2,1646,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/obama/real/_TcVs9wnZlo_2.csv,54.86666666666667
48,test,obama,HrmmBvxtdms_2,1622,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/obama/real/HrmmBvxtdms_2.csv,54.06666666666667
49,test,michelle,yCTcdtkBbdU_2,1347,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/michelle/real/yCTcdtkBbdU_2.csv,44.9
50,test,michelle,4AjrJ6U1A9E_1,1501,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/michelle/real/4AjrJ6U1A9E_1.csv,50.03333333333333
51,test,michelle,0Z_Lu6jXhBQ_0,1227,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/michelle/real/0Z_Lu6jXhBQ_0.csv,40.9
52,test,bernie,eCSnWL3Der0_15,1568,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/bernie/real/eCSnWL3Der0_15.csv,52.266666666666666
53,test,bernie,irhdnd_lsIs_12,2357,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/bernie/real/irhdnd_lsIs_12.csv,78.56666666666666
54,test,warren,OvDuPfoUyro_49,336,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/warren/real/OvDuPfoUyro_49.csv,11.2
55,test,warren,Dgd-fMWkUb8_11,2180,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/warren/real/Dgd-fMWkUb8_11.csv,72.66666666666667
56,test,warren,KrMA9Rnmx1w_16,107,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/warren/real/KrMA9Rnmx1w_16.csv,3.566666666666667
57,test,warren,UrkfGmjM2BE_10,706,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/warren/real/UrkfGmjM2BE_10.csv,23.533333333333335
58,test,warren,gsC3sfv1FW8_4,2159,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/warren/real/gsC3sfv1FW8_4.csv,71.96666666666667
59,test,trump,9_21,378,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/9_21.csv,12.6
60,test,trump,cSew1jkb_40_20,1619,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/cSew1jkb_40_20.csv,53.96666666666667
61,test,trump,9_47,893,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/9_47.csv,29.766666666666666
62,test,trump,g13CnihlioY7,539,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/g13CnihlioY7.csv,17.966666666666665
63,test,trump,i9BiKHdl-Ek0,479,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/i9BiKHdl-Ek0.csv,15.966666666666667
64,test,trump,7_64,1018,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/7_64.csv,33.93333333333333
65,test,trump,7_71,345,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/7_71.csv,11.5
66,test,trump,pfVIIMtcDWw4,299,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/trump/real/pfVIIMtcDWw4.csv,9.966666666666667
67,test,pelosi,ChrulcEJwQ4_15,439,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/pelosi/real/ChrulcEJwQ4_15.csv,14.633333333333333
68,test,pelosi,NEPQfyn8Gl4_9,670,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/pelosi/real/NEPQfyn8Gl4_9.csv,22.333333333333332
69,test,pelosi,30AHJNmaDxQ_6,998,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/pelosi/real/30AHJNmaDxQ_6.csv,33.266666666666666
70,test,pelosi,efqNAIyBXbQ_24,3337,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/pelosi/real/efqNAIyBXbQ_24.csv,111.23333333333333
71,test,pelosi,efqNAIyBXbQ_10,1072,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/pelosi/real/efqNAIyBXbQ_10.csv,35.733333333333334
72,test,pelosi,NP4-2bItxY8_9,389,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/test/pelosi/real/NP4-2bItxY8_9.csv,12.966666666666667
73,train,putin,9mhi_AyQAyw_98,419,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/9mhi_AyQAyw_98.csv,13.966666666666667
74,train,putin,0rNaPz8TQ9w_100,375,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/0rNaPz8TQ9w_100.csv,12.5
75,train,putin,rHY8yG4mVzs_15,996,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/rHY8yG4mVzs_15.csv,33.2
76,train,putin,rHY8yG4mVzs_1_0,1799,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/rHY8yG4mVzs_1_0.csv,59.96666666666667
77,train,putin,wCvqqwwwx8Y_136,469,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/wCvqqwwwx8Y_136.csv,15.633333333333333
78,train,putin,UB45clPRNoc_35,356,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/UB45clPRNoc_35.csv,11.866666666666667
79,train,putin,hpkwxDFUmb8_4,1013,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/hpkwxDFUmb8_4.csv,33.766666666666666
80,train,putin,0rNaPz8TQ9w_73,325,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/0rNaPz8TQ9w_73.csv,10.833333333333334
81,train,putin,wCvqqwwwx8Y_127,722,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/wCvqqwwwx8Y_127.csv,24.066666666666666
82,train,putin,0rNaPz8TQ9w_77,309,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/0rNaPz8TQ9w_77.csv,10.3
83,train,putin,hpkwxDFUmb8_1,595,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/hpkwxDFUmb8_1.csv,19.833333333333332
84,train,putin,0rNaPz8TQ9w_113,641,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/0rNaPz8TQ9w_113.csv,21.366666666666667
85,train,putin,QiKF8JN1qmk_49,728,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/QiKF8JN1qmk_49.csv,24.266666666666666
86,train,putin,UYEnNMtKy_A_0,1799,/Users/shrutiagarwal/Dropbox/courses/CS282A/projects/train/putin/real/UYEnNMtKy_A_0.csv,59.96666666666667
